156,579,-667,-228,-361,-394
164,608,-647,-280,-390,-443
172,636,-639,-311,-414,-481
181,665,-629,-326,-447,-509
193,693,-611,-332,-496,-525
210,719,-593,-337,-546,-532
233,744,-575,-341,-584,-533
262,773,-552,-350,-600,-534
289,800,-524,-366,-605,-539
316,822,-497,-391,-602,-546
341,836,-470,-423,-597,-553
360,846,-449,-460,-590,-555
376,855,-426,-497,-575,-552
393,864,-403,-528,-547,-543
410,871,-379,-554,-517,-535
425,876,-355,-574,-494,-528
436,881,-331,-586,-480,-520
441,884,-306,-595,-468,-508
444,889,-279,-602,-454,-488
446,895,-253,-607,-437,-466
447,900,-226,-611,-421,-439
451,906,-196,-615,-407,-414
460,912,-167,-620,-390,-395
471,917,-138,-623,-367,-380
480,921,-108,-626,-343,-368
487,924,-78,-627,-320,-357
489,924,-50,-627,-299,-341
491,920,-23,-624,-286,-315
497,911,2,-618,-282,-284
503,901,22,-604,-282,-247
506,892,41,-582,-277,-208
508,885,54,-546,-270,-167
509,882,64,-502,-272,-128
507,883,71,-450,-281,-93
503,886,77,-398,-289,-61
498,890,84,-349,-291,-34
495,895,90,-309,-285,-14
491,899,96,-280,-274,-2
484,904,99,-260,-255,4
477,908,101,-248,-235,6
468,911,101,-241,-218,5
459,914,102,-236,-206,5
451,915,100,-232,-202,7
445,913,101,-227,-204,10
439,911,104,-223,-209,13
424,912,104,-219,-221,20
406,916,105,-212,-254,35
392,923,112,-202,-306,61
383,928,125,-191,-360,87
388,934,150,-188,-413,100
401,935,187,-194,-459,95
435,927,240,-215,-480,60
487,913,302,-243,-462,-1
566,888,380,-273,-389,-99
655,846,481,-304,-298,-209
775,771,601,-323,-183,-312
932,678,699,-297,-29,-394
1127,573,753,-177,155,-465
1292,468,736,94,352,-513
1394,406,631,460,565,-507
1393,417,417,897,704,-373
1351,452,214,1294,752,-108
1249,490,-18,1571,746,332
1181,530,-233,1735,660,824
1183,534,-395,1733,485,1216
1181,489,-482,1603,394,1400
1073,419,-541,1363,500,1383
917,369,-607,1095,644,1303
744,330,-692,851,747,1208
569,298,-765,677,765,1124
410,274,-811,562,736,1060
281,264,-815,498,660,1009
188,262,-796,449,566,950
128,270,-761,404,480,867
77,287,-730,364,414,765
35,316,-705,333,361,647
2,350,-684,306,313,528
-27,389,-662,282,270,413
-45,433,-644,253,235,305
-55,475,-636,224,206,204
-64,514,-635,200,175,111
-73,551,-628,178,140,29
-73,589,-617,156,97,-42
-72,618,-607,136,55,-106
-63,642,-600,117,20,-165
-53,665,-587,97,-12,-218
-37,693,-570,71,-40,-269
-21,721,-555,42,-62,-318
-3,742,-547,14,-77,-366
11,757,-543,-12,-95,-408
27,770,-534,-38,-123,-443
49,788,-517,-68,-154,-474
75,803,-502,-99,-175,-502
99,810,-492,-128,-188,-527
119,817,-480,-156,-202,-547
140,828,-461,-184,-225,-561
